lambda,mu,c,rho,p0,p_wait,lq,wq,w,l,customers,observed_wait_probability,observed_wq,observed_w,observed_lq,observed_l
0.25,0.5,1,0.5,0.5,0.5,0.5,2.0,4.0,1.0,4000,0.50875,2.000316131083621,4.012312159008564,0.4992713894892727,1.001458037339182
0.4,0.5,1,0.8,0.19999999999999996,0.8,3.2000000000000015,8.000000000000004,10.000000000000004,4.000000000000002,4000,0.79425,6.987205932750337,8.992720613711715,2.74836381057166,3.537217613332692
0.25,0.5,2,0.25,0.6,0.09999999999999999,0.03333333333333333,0.13333333333333333,2.1333333333333333,0.5333333333333333,4000,0.096,0.1191476462179034,2.121788841237646,0.030099372118746616,0.5360115278569361
0.4,0.5,2,0.4,0.42857142857142855,0.2285714285714286,0.15238095238095242,0.38095238095238104,2.380952380952381,0.9523809523809524,4000,0.2225,0.3561315505759704,2.353448497039564,0.14243091398894164,0.941235955975038
0.7,0.5,2,0.7,0.17647058823529416,0.5764705882352941,1.3450980392156857,1.9215686274509798,3.92156862745098,2.745098039215686,4000,0.615,2.3899914936300837,4.455478991971642,1.675224357559291,3.1229930950958624
0.9,0.5,2,0.9,0.05263157894736841,0.8526315789473686,7.67368421052632,8.526315789473689,10.526315789473689,9.47368421052632,4000,0.82675,7.023855657874199,8.956199751649063,6.359811858468521,8.10946980715573
0.25,0.5,3,0.16666666666666666,0.6060606060606061,0.01515151515151515,0.00303030303030303,0.01212121212121212,2.012121212121212,0.503030303030303,4000,0.0165,0.009369277504264322,2.032293846607706,0.0023637901971642734,0.5127307063092239
0.4,0.5,3,0.26666666666666666,0.44715447154471544,0.05203252032520326,0.01892091648189209,0.04730229120473023,2.0473022912047303,0.8189209164818921,4000,0.05,0.044122502090809756,2.10148755748533,0.01752059151024692,0.8344790824144145
0.7,0.5,3,0.4666666666666666,0.23598820058997053,0.20235988200589963,0.17706489675516213,0.2529498525073745,2.2529498525073746,1.5770648967551621,4000,0.21275,0.28107729776078394,2.286517076215101,0.19837168675720468,1.6137206840303682
0.9,0.5,3,0.6,0.145985401459854,0.35474452554744523,0.5321167883211678,0.5912408759124087,2.591240875912409,2.332116788321168,4000,0.34775,0.5523755908237509,2.5329517391965055,0.5006032668163966,2.2955466106659204
1.2,0.5,3,0.7999999999999999,0.05617977528089889,0.647191011235955,2.588764044943819,2.157303370786516,4.157303370786516,4.988764044943819,4000,0.683,2.320570458253562,4.385148570554228,2.80887035747539,5.307881856871189
0.25,0.5,4,0.125,0.6064981949458483,0.0018050541516245486,0.0002578648788035069,0.0010314595152140277,2.001031459515214,0.5002578648788035,4000,0.00325,0.002204860540139009,2.0268666193279454,0.0005525411004768924,0.5079355777725215
0.4,0.5,4,0.2,0.4491017964071856,0.009580838323353295,0.0023952095808383238,0.005988023952095809,2.0059880239520957,0.8023952095808383,4000,0.01025,0.006128838396441026,1.9968503782279914,0.002449345361372085,0.7980266234637514
0.7,0.5,4,0.35,0.24488258194147935,0.06030390556322993,0.03247133376481612,0.04638761966402303,2.046387619664023,1.432471333764816,4000,0.058,0.04314071552755483,2.080393965838114,0.030489423578173403,1.4703050716300754
0.9,0.5,4,0.45,0.16162209814869233,0.12853364678225096,0.10516389282184169,0.11684876980204631,2.116848769802046,1.9051638928218415,4000,0.1145,0.0850017230724325,2.038753736350085,0.07618267773501997,1.8272302403220222
1.2,0.5,4,0.6,0.08305647840531562,0.2870431893687707,0.430564784053156,0.35880398671096336,2.3588039867109636,2.830564784053156,4000,0.2655,0.33621710222945766,2.3531215990836403,0.3883074759929897,2.717692534929888
1.5,0.5,4,0.75,0.03773584905660377,0.5094339622641509,1.5283018867924527,1.0188679245283019,3.018867924528302,4.528301886792454,4000,0.44925,0.6552288839991021,2.619631337002871,0.9784028880302957,3.911693956553
