time,system_size,queue_length
0.0,0,0
0.14518451436852475,1,0
0.953382066227811,0,0
1.1000661868600816,1,0
1.1668865652358247,2,0
1.2354529452088474,1,0
2.260933551976625,0,0
3.2459128344266497,1,0
4.662535470124265,0,0
5.090964448049499,1,0
6.233076117915141,2,0
6.565156906612177,1,0
7.00042418448044,2,0
9.074576189206887,3,1
11.53961579300244,2,1
11.53961579300244,2,0
12.07251491874033,3,1
12.589468762893906,4,2
13.088900542984039,3,2
13.088900542984039,3,1
14.084051791984876,4,2
14.67747086403558,3,2
14.67747086403558,3,1
15.965902484445337,2,1
15.965902484445337,2,0
16.71739540360808,3,1
17.598808397432826,2,1
17.598808397432826,2,0
17.764608590828,3,1
19.207656980560817,2,1
19.207656980560817,2,0
19.307252509987514,1,0
19.34885807784739,2,0
20.066189386408723,1,0
20.104195165880917,0,0
21.846809836465457,1,0
22.40076522527965,0,0
22.46027498777888,1,0
23.006576846012432,2,0
23.58973028284597,1,0
23.958308829178918,2,0
24.15412890667174,1,0
24.751230404420415,2,0
25.2583448452439,3,1
27.813500310783358,2,1
27.813500310783358,2,0
27.862054218245664,3,1
28.266776353198757,4,2
29.597506792167422,3,2
29.597506792167422,3,1
29.637207834900448,2,1
29.637207834900448,2,0
29.944329728919207,3,1
31.904830245787654,4,2
32.14786364815122,3,2
32.14786364815122,3,1
32.48492197034061,2,1
32.48492197034061,2,0
33.5002078437942,3,1
34.06828620823623,2,1
34.06828620823623,2,0
35.341783905664116,3,1
35.64677270657071,4,2
35.76659914400032,3,2
35.76659914400032,3,1
38.74220131025656,2,1
38.74220131025656,2,0
41.27389371407564,1,0
43.24037918332416,2,0
43.422559653604495,1,0
44.13662465966471,2,0
44.51576453542256,3,1
46.93893238590455,2,1
46.93893238590455,2,0
47.32023809770424,1,0
47.53028135464897,2,0
48.01450268934312,1,0
48.32900949875172,2,0
48.6531068449221,3,1
49.042173131133424,4,2
49.19501638535387,3,2
49.19501638535387,3,1
50.10831477609577,2,1
50.10831477609577,2,0
50.23858764406882,3,1
50.71357534371217,2,1
50.71357534371217,2,0
50.796701077419364,1,0
51.25217434960348,2,0
52.11135442046897,3,1
52.469979767676676,4,2
52.676698584223,3,2
52.676698584223,3,1
53.0313148899089,2,1
53.0313148899089,2,0
53.770975556707654,1,0
54.93018003146598,2,0
54.931480194671096,3,1
54.95487285257846,2,1
54.95487285257846,2,0
55.34111370302839,1,0
55.81623456341551,2,0
55.91557984243843,1,0
57.02659366715851,2,0
57.08167379292564,1,0
57.1448864264991,2,0
58.01970583388794,1,0
59.11143872924298,2,0
59.1543351831471,1,0
59.78139344373495,2,0
60.259573192602375,3,1
61.02928436344711,2,1
61.02928436344711,2,0
61.457870029086294,1,0
61.70037797606597,0,0
62.52512936434472,1,0
63.0842191035656,2,0
63.9840495166401,3,1
64.91217323996551,4,2
65.60123384382474,3,2
65.60123384382474,3,1
65.8425517254135,4,2
66.58913544298343,3,2
66.58913544298343,3,1
66.77738847070545,4,2
67.16427921428432,5,3
67.92432217422822,4,3
67.92432217422822,4,2
68.75574773179792,5,3
69.34210051436042,4,3
69.34210051436042,4,2
70.41394905445405,5,3
70.86736413453188,4,3
70.86736413453188,4,2
71.27277527275659,5,3
72.52130754255876,6,4
