N,S,repairers,seed,crash_time,crashed,repairer_utilization,average_repair_queue,average_good_machines,analytic_crash_time
10,3,1,200,24957.123818955428,true,0.1049187132278,0.012538689543442819,12.88254259722878,12339.99999999653
10,3,1,201,6578.401684102347,true,0.10047216702173266,0.011284004541844493,12.888243828436439,12339.99999999653
10,3,1,202,3495.1105823199305,true,0.09965607851646005,0.013298545853093426,12.88704537563045,12339.99999999653
10,3,1,203,22601.50698797585,true,0.09678011032389458,0.010968138875792668,12.892251750800263,12339.99999999653
10,3,1,204,33755.32893228029,true,0.09592193898766341,0.009581754697862885,12.89449630631443,12339.99999999653
10,3,1,205,3014.8016324239175,true,0.11593992890433871,0.016074742606115536,12.867985328489558,12339.99999999653
10,3,1,206,61593.48668302283,true,0.09748837151438018,0.008999071934177864,12.89351255655141,12339.99999999653
10,3,1,207,5827.379606486856,true,0.09885544884145912,0.010308170733403116,12.890836380425114,12339.99999999653
10,3,1,208,20324.883108718852,true,0.0981925268118362,0.010754695242755264,12.891052777945395,12339.99999999653
10,3,1,209,2194.9188696989486,true,0.10207146065626835,0.011632681958630407,12.886295857385104,12339.99999999653
10,3,1,210,14908.189689101975,true,0.1006778348932684,0.011526153217787442,12.887796011888954,12339.99999999653
10,3,1,211,1638.3764282045006,true,0.10156010809659331,0.013269709385643775,12.88517018251776,12339.99999999653
10,3,1,212,48542.19906676178,true,0.09961247696176614,0.010230573891611262,12.890156949146627,12339.99999999653
10,3,1,213,3646.176203743025,true,0.09914506058801635,0.013847986001909205,12.887006953410078,12339.99999999653
10,3,1,214,114.42047837266722,true,0.12496336859262121,0.08567645610964046,12.789360175297741,12339.99999999653
10,3,1,215,18504.6054728349,true,0.0964295811086898,0.009560262301827804,12.89401015658949,12339.99999999653
10,3,1,216,13964.94367431817,true,0.09159783382183964,0.007314604286906912,12.901087561891268,12339.99999999653
10,3,1,217,15167.088605492727,true,0.0979140948031163,0.009944924255650486,12.89214098094119,12339.99999999653
10,3,1,218,8080.172150407089,true,0.10332893467040614,0.01236397848540872,12.884307086844213,12339.99999999653
10,3,1,219,2405.511976535278,true,0.10202498068009261,0.01293207104215132,12.885042948277757,12339.99999999653
10,3,1,220,8529.492755152494,true,0.10320051940972642,0.011841186008864657,12.88495829458142,12339.99999999653
10,3,1,221,1979.4309883472467,true,0.12034111620870665,0.011202984466101946,12.868455899325204,12339.99999999653
