time,event,spares,repair_queue,busy_repairers,good_machines
0.0,start,3,0,0,13
1.9471860169745714,failure,2,0,1,12
4.396109058031424,repair,3,0,0,13
12.246987847080925,failure,2,0,1,12
14.272847626552917,failure,1,1,1,11
15.199761735261186,repair,2,0,1,12
15.346451161533954,repair,3,0,0,13
22.281447759477985,failure,2,0,1,12
23.740459970766743,repair,3,0,0,13
30.117746052578973,failure,2,0,1,12
31.344853685030046,repair,3,0,0,13
46.73137965896288,failure,2,0,1,12
47.50296770099617,repair,3,0,0,13
49.575511565162145,failure,2,0,1,12
51.131175555693254,repair,3,0,0,13
53.79230813456004,failure,2,0,1,12
54.65454974778914,repair,3,0,0,13
67.4111242815656,failure,2,0,1,12
69.82475270624927,repair,3,0,0,13
105.59563110287306,failure,2,0,1,12
106.10964618200964,failure,1,1,1,11
110.49191577220054,repair,2,0,1,12
110.83791661667065,repair,3,0,0,13
111.22712395153948,failure,2,0,1,12
111.32841468283051,repair,3,0,0,13
114.09769413715036,failure,2,0,1,12
114.4153715147628,repair,3,0,0,13
117.26026508420787,failure,2,0,1,12
118.96112958798096,repair,3,0,0,13
126.08301174704559,failure,2,0,1,12
127.33834253462855,repair,3,0,0,13
131.53308257031767,failure,2,0,1,12
131.98759985814988,repair,3,0,0,13
132.8796412134823,failure,2,0,1,12
133.1168472311198,repair,3,0,0,13
145.40603431332698,failure,2,0,1,12
145.53814873814935,repair,3,0,0,13
148.01127343198928,failure,2,0,1,12
148.2254497841168,repair,3,0,0,13
152.79227463767137,failure,2,0,1,12
153.33306107837004,repair,3,0,0,13
166.18012716231524,failure,2,0,1,12
166.47397139629587,repair,3,0,0,13
171.18229551054958,failure,2,0,1,12
171.66921805634684,repair,3,0,0,13
175.81341259280418,failure,2,0,1,12
178.69582581755245,repair,3,0,0,13
188.96302862136866,failure,2,0,1,12
190.92009449085407,repair,3,0,0,13
192.64356426035144,failure,2,0,1,12
194.3248099851084,failure,1,1,1,11
194.42650025017983,repair,2,0,1,12
195.26199521701872,repair,3,0,0,13
209.38381189957067,failure,2,0,1,12
210.2144778599695,repair,3,0,0,13
211.23229684016766,failure,2,0,1,12
211.68804502906727,repair,3,0,0,13
221.65075532883313,failure,2,0,1,12
222.8682519475301,repair,3,0,0,13
224.58707790563628,failure,2,0,1,12
227.771001764572,repair,3,0,0,13
232.69898137553145,failure,2,0,1,12
235.38548108195022,repair,3,0,0,13
236.38353787288833,failure,2,0,1,12
237.40566244880628,repair,3,0,0,13
241.24248501001838,failure,2,0,1,12
242.27111615326965,repair,3,0,0,13
243.95431107679826,failure,2,0,1,12
244.67538948029875,repair,3,0,0,13
258.42210011155834,failure,2,0,1,12
258.58553383154526,repair,3,0,0,13
278.1377042955406,failure,2,0,1,12
279.29842544471234,repair,3,0,0,13
283.37052933497773,failure,2,0,1,12
283.3775721154882,repair,3,0,0,13
298.01085127383885,failure,2,0,1,12
298.1844729048445,repair,3,0,0,13
309.5829659403373,failure,2,0,1,12
309.6324059772066,repair,3,0,0,13
334.8753023488702,failure,2,0,1,12
335.11496942413766,repair,3,0,0,13
361.63100344123757,failure,2,0,1,12
362.64910498214596,repair,3,0,0,13
381.119355684196,failure,2,0,1,12
381.1327135866178,repair,3,0,0,13
382.75793107905315,failure,2,0,1,12
384.2721620519572,repair,3,0,0,13
388.35119187533763,failure,2,0,1,12
388.3846848421004,failure,1,1,1,11
390.82136873100484,repair,2,0,1,12
390.981612188845,repair,3,0,0,13
398.3524228763374,failure,2,0,1,12
400.9653014914772,repair,3,0,0,13
401.7100729449624,failure,2,0,1,12
401.79076971454407,repair,3,0,0,13
416.6890863406345,failure,2,0,1,12
416.7875134847605,repair,3,0,0,13
448.8740243491965,failure,2,0,1,12
449.25594750285944,repair,3,0,0,13
462.378299053432,failure,2,0,1,12
465.36020226431725,failure,1,1,1,11
466.08099771920644,repair,2,0,1,12
466.96926365985973,repair,3,0,0,13
470.90142480139434,failure,2,0,1,12
471.50315902162964,repair,3,0,0,13
472.20603360708395,failure,2,0,1,12
473.41863586848723,repair,3,0,0,13
478.1295240564443,failure,2,0,1,12
480.24977299626835,repair,3,0,0,13
498.24353441723616,failure,2,0,1,12
501.2146369956362,repair,3,0,0,13
504.3162877276168,failure,2,0,1,12
504.8123691298863,repair,3,0,0,13
555.1074896060479,failure,2,0,1,12
555.1242484040685,repair,3,0,0,13
557.5815624148166,failure,2,0,1,12
558.3969601352798,repair,3,0,0,13
585.2269164625255,failure,2,0,1,12
588.3459399205877,repair,3,0,0,13
595.7962576172938,failure,2,0,1,12
595.8735586852389,repair,3,0,0,13
599.7573247571562,failure,2,0,1,12
600.0166221228314,repair,3,0,0,13
609.7900636245356,failure,2,0,1,12
610.2860970426012,failure,1,1,1,11
610.8577548373117,repair,2,0,1,12
611.5662972999194,repair,3,0,0,13
621.3679930830648,failure,2,0,1,12
621.4901905237979,repair,3,0,0,13
623.0417674630744,failure,2,0,1,12
623.8220396278897,repair,3,0,0,13
625.3461318718374,failure,2,0,1,12
626.211184639555,repair,3,0,0,13
627.2793476526705,failure,2,0,1,12
627.7662002123203,repair,3,0,0,13
646.9401643777603,failure,2,0,1,12
648.2686183607492,repair,3,0,0,13
660.2692910194347,failure,2,0,1,12
661.8411775313925,repair,3,0,0,13
662.9567046568743,failure,2,0,1,12
663.0287839283993,repair,3,0,0,13
679.7157997679436,failure,2,0,1,12
681.1745526601693,failure,1,1,1,11
681.8508432654575,repair,2,0,1,12
682.0619428750326,repair,3,0,0,13
686.3711127127988,failure,2,0,1,12
688.1762314946985,repair,3,0,0,13
690.8317566696388,failure,2,0,1,12
693.2164663799836,failure,1,1,1,11
695.2689692300813,repair,2,0,1,12
695.9533523467876,repair,3,0,0,13
697.0809738001191,failure,2,0,1,12
698.7382010625369,failure,1,1,1,11
699.6365946563258,repair,2,0,1,12
700.8419371451549,repair,3,0,0,13
715.7097718661589,failure,2,0,1,12
717.1449668875345,repair,3,0,0,13
724.2880498184618,failure,2,0,1,12
724.9150996466193,repair,3,0,0,13
737.2740853474942,failure,2,0,1,12
737.7073388468185,repair,3,0,0,13
738.3512554152296,failure,2,0,1,12
739.3325535417717,failure,1,1,1,11
742.5815490732193,repair,2,0,1,12
744.1529225094368,repair,3,0,0,13
751.6454478334955,failure,2,0,1,12
751.6585271394254,repair,3,0,0,13
759.7910207845068,failure,2,0,1,12
759.9236250919339,repair,3,0,0,13
774.3190229360171,failure,2,0,1,12
775.1611061632666,repair,3,0,0,13
786.2351069999543,failure,2,0,1,12
786.4156425990461,repair,3,0,0,13
789.6613172000247,failure,2,0,1,12
789.7017510776564,repair,3,0,0,13
794.9089446444711,failure,2,0,1,12
795.2549313909834,repair,3,0,0,13
814.0223161755328,failure,2,0,1,12
815.0116484369349,repair,3,0,0,13
816.7124308926576,failure,2,0,1,12
818.4453070619829,repair,3,0,0,13
835.2393515287544,failure,2,0,1,12
835.4688626186954,repair,3,0,0,13
855.0977518661832,failure,2,0,1,12
855.5690090333426,repair,3,0,0,13
880.8690007265459,failure,2,0,1,12
883.7096481600549,repair,3,0,0,13
886.4897560908063,failure,2,0,1,12
886.8634195270063,repair,3,0,0,13
912.0613280149081,failure,2,0,1,12
912.819649501213,repair,3,0,0,13
914.7397306475598,failure,2,0,1,12
916.0296906671929,repair,3,0,0,13
917.5126446411173,failure,2,0,1,12
917.6714646548934,repair,3,0,0,13
933.9237597470818,failure,2,0,1,12
933.9855919236173,repair,3,0,0,13
958.7756718455677,failure,2,0,1,12
961.0150557045666,repair,3,0,0,13
967.3518173142927,failure,2,0,1,12
967.9116473484397,repair,3,0,0,13
975.960842159927,failure,2,0,1,12
976.0250440082413,repair,3,0,0,13
1007.79965248048,failure,2,0,1,12
1008.8707098180275,repair,3,0,0,13
1015.1862881362939,failure,2,0,1,12
1016.0954977600476,repair,3,0,0,13
1017.3490813701344,failure,2,0,1,12
1018.4064867742677,repair,3,0,0,13
1049.0544505206813,failure,2,0,1,12
1049.3601498693315,repair,3,0,0,13
1088.5263475605566,failure,2,0,1,12
1088.765927542995,repair,3,0,0,13
1091.3170783769674,failure,2,0,1,12
1093.0742278089442,repair,3,0,0,13
1120.9830191889139,failure,2,0,1,12
1122.3810993244674,repair,3,0,0,13
1125.0383042809417,failure,2,0,1,12
1126.574635357548,repair,3,0,0,13
1161.3441660488954,failure,2,0,1,12
1162.6890523436236,repair,3,0,0,13
1176.524619437093,failure,2,0,1,12
1177.223320201846,repair,3,0,0,13
1191.7382255127736,failure,2,0,1,12
1192.420677972416,repair,3,0,0,13
1201.9672894612852,failure,2,0,1,12
1202.5525626740746,repair,3,0,0,13
1207.9991179350857,failure,2,0,1,12
1208.2764884422124,repair,3,0,0,13
1212.0741720099054,failure,2,0,1,12
1212.4793956905319,failure,1,1,1,11
1213.3696590048626,repair,2,0,1,12
1214.3683258898607,failure,1,1,1,11
1214.4588806372071,repair,2,0,1,12
1216.7679218479627,repair,3,0,0,13
1224.632716494373,failure,2,0,1,12
1224.8821776116945,repair,3,0,0,13
1228.691025447322,failure,2,0,1,12
1229.040751228898,repair,3,0,0,13
1229.6021233850802,failure,2,0,1,12
1229.9542443977418,repair,3,0,0,13
1231.5937009179706,failure,2,0,1,12
1231.763661149333,repair,3,0,0,13
1234.8404427249657,failure,2,0,1,12
1235.1446549282375,repair,3,0,0,13
1245.7663467867947,failure,2,0,1,12
1247.1717822036433,failure,1,1,1,11
1247.4872876045504,repair,2,0,1,12
1249.2504737063089,repair,3,0,0,13
1255.8044378541044,failure,2,0,1,12
1256.267090944735,failure,1,1,1,11
1256.4467511199232,repair,2,0,1,12
1256.831037568562,repair,3,0,0,13
1261.5487395184944,failure,2,0,1,12
1262.211478362642,repair,3,0,0,13
1277.4365719871257,failure,2,0,1,12
1279.9303298753546,repair,3,0,0,13
1282.1753547200587,failure,2,0,1,12
1283.0264837263376,repair,3,0,0,13
1294.9906889603449,failure,2,0,1,12
1295.007230501808,repair,3,0,0,13
1300.6052599786635,failure,2,0,1,12
1302.0998699535726,repair,3,0,0,13
1304.8313176023107,failure,2,0,1,12
1306.7707287904404,repair,3,0,0,13
1316.262034446873,failure,2,0,1,12
1317.0852897469456,repair,3,0,0,13
1331.2071365469726,failure,2,0,1,12
1333.7700994057147,repair,3,0,0,13
1335.824285396712,failure,2,0,1,12
1337.5530984757906,repair,3,0,0,13
1337.8861106995005,failure,2,0,1,12
1338.8332494206707,repair,3,0,0,13
1347.5188109618102,failure,2,0,1,12
1347.840950946723,repair,3,0,0,13
1349.7000959528416,failure,2,0,1,12
1350.4783395543434,repair,3,0,0,13
1350.7982369922283,failure,2,0,1,12
1351.1005797543462,repair,3,0,0,13
1354.7888696828384,failure,2,0,1,12
1355.1433699123488,repair,3,0,0,13
1362.6816388342,failure,2,0,1,12
1362.706413303865,repair,3,0,0,13
1374.366810741394,failure,2,0,1,12
1376.571370987914,repair,3,0,0,13
1379.402084059719,failure,2,0,1,12
1381.1197125823132,repair,3,0,0,13
1391.5933356669796,failure,2,0,1,12
1393.4405262469982,repair,3,0,0,13
1394.7805302224024,failure,2,0,1,12
1395.8685251795525,repair,3,0,0,13
1398.2463812729013,failure,2,0,1,12
1398.908751906758,repair,3,0,0,13
1402.7214644599412,failure,2,0,1,12
1402.81948167602,repair,3,0,0,13
1425.4536541058278,failure,2,0,1,12
1426.4545900821915,repair,3,0,0,13
1432.279655055723,failure,2,0,1,12
1433.7173795784029,repair,3,0,0,13
1453.4259866273758,failure,2,0,1,12
1454.3460635663864,repair,3,0,0,13
1479.1002809875515,failure,2,0,1,12
1479.4360319098025,repair,3,0,0,13
1481.4857155930717,failure,2,0,1,12
1482.2649389589014,repair,3,0,0,13
1482.304971820909,failure,2,0,1,12
1482.8628740189376,repair,3,0,0,13
1506.064030140263,failure,2,0,1,12
1506.6346441249852,repair,3,0,0,13
1509.0194422655932,failure,2,0,1,12
1510.008284680665,repair,3,0,0,13
1525.1409932592437,failure,2,0,1,12
1525.7175155315206,repair,3,0,0,13
1529.926126497474,failure,2,0,1,12
1530.1390850017674,repair,3,0,0,13
1532.5891080846825,failure,2,0,1,12
1533.0845530400213,repair,3,0,0,13
1547.8841210064738,failure,2,0,1,12
1547.954863144867,repair,3,0,0,13
1559.2765032910324,failure,2,0,1,12
1559.7297009856563,repair,3,0,0,13
1566.3060488548108,failure,2,0,1,12
1567.3548922672383,repair,3,0,0,13
1573.9945556949735,failure,2,0,1,12
1574.1015281382713,repair,3,0,0,13
1578.071390687993,failure,2,0,1,12
1579.056072216498,repair,3,0,0,13
1617.3152510274554,failure,2,0,1,12
1618.3117659834656,repair,3,0,0,13
1624.5946005312333,failure,2,0,1,12
1627.054928898061,repair,3,0,0,13
1635.5740047010186,failure,2,0,1,12
1636.1130942374818,repair,3,0,0,13
1639.6657313032322,failure,2,0,1,12
1639.794711138438,repair,3,0,0,13
1647.7687628141055,failure,2,0,1,12
1650.63422544495,repair,3,0,0,13
1661.3992311127174,failure,2,0,1,12
1662.4009393611198,repair,3,0,0,13
1663.7798364568212,failure,2,0,1,12
1665.2880358573263,repair,3,0,0,13
1666.7242716888018,failure,2,0,1,12
1666.7652433163098,repair,3,0,0,13
1674.748680124718,failure,2,0,1,12
1675.0959518325867,failure,1,1,1,11
1675.932602049284,repair,2,0,1,12
1677.9003675810254,repair,3,0,0,13
1679.9414478013111,failure,2,0,1,12
1679.980107477292,repair,3,0,0,13
1689.4325796668174,failure,2,0,1,12
1690.5343823501662,repair,3,0,0,13
1694.9591615419313,failure,2,0,1,12
1695.4085844301144,repair,3,0,0,13
1728.848370318297,failure,2,0,1,12
1731.2623007037039,repair,3,0,0,13
1734.6334998450802,failure,2,0,1,12
1735.575870296007,repair,3,0,0,13
1751.5724652275132,failure,2,0,1,12
1752.0442638029028,repair,3,0,0,13
1784.597370841135,failure,2,0,1,12
1785.3073052953691,repair,3,0,0,13
1786.8650116437095,failure,2,0,1,12
1788.9781649727538,repair,3,0,0,13
1792.8736982084683,failure,2,0,1,12
1793.563347863603,repair,3,0,0,13
1813.887351623536,failure,2,0,1,12
1814.780879256688,repair,3,0,0,13
1889.1157192783212,failure,2,0,1,12
1889.8765205989098,repair,3,0,0,13
1890.559089109273,failure,2,0,1,12
1890.6660528208329,repair,3,0,0,13
1908.5513378292324,failure,2,0,1,12
1909.1639492692043,failure,1,1,1,11
1909.9003935341657,repair,2,0,1,12
1911.7540634398038,repair,3,0,0,13
1913.1754369571086,failure,2,0,1,12
1913.3631145790162,repair,3,0,0,13
1913.8805805713268,failure,2,0,1,12
1914.441902338834,repair,3,0,0,13
