t,S,E,I,R
0.0,990,0,10,0
0.11085100734229908,989,1,10,0
0.24955030549842258,988,2,10,0
0.3151968384393848,987,3,10,0
0.4187381648895242,987,3,9,1
0.45704075115651627,987,3,8,2
0.6589966564708711,986,4,8,2
0.697078505245879,986,3,9,2
0.8112053652474848,985,4,9,2
0.9044953084633092,985,3,10,2
0.9136460307932821,985,3,9,3
0.9532668905007917,985,2,10,3
1.0019534878546965,984,3,10,3
1.178202555608241,983,4,10,3
1.2810225246884896,982,5,10,3
1.3082779501442605,982,5,9,4
1.3139971760128404,982,5,8,5
1.3782348735501104,981,6,8,5
1.4464487386771898,980,7,8,5
1.7162183305560266,980,7,7,6
1.7440935389816756,980,6,8,6
1.9767335699896726,980,5,9,6
2.0234783764870863,980,4,10,6
2.0705321272344746,979,5,10,6
2.119301515275434,978,6,10,6
2.1991037597914525,977,7,10,6
2.3055039741473533,976,8,10,6
2.3647937030040502,976,8,9,7
2.5665500293605206,976,8,8,8
2.6446134207945926,975,9,8,8
2.686160289236048,975,9,7,9
2.801819420570742,975,9,6,10
3.076983434688252,975,9,5,11
3.0897720819668035,975,8,6,11
3.1033367747113108,975,7,7,11
3.1104361857612823,974,8,7,11
3.128780132664413,973,9,7,11
3.2576512655784753,972,10,7,11
3.259239571741394,972,10,6,12
3.338601047076245,972,9,7,12
3.380676216198954,972,8,8,12
3.453314249617905,972,7,9,12
3.843489538449667,972,6,10,12
3.8824038475835474,971,7,10,12
4.018567266464303,970,8,10,12
4.044023746025497,970,8,9,13
4.0826115286831195,969,9,9,13
4.195980827076393,968,10,9,13
4.383546604759381,968,9,10,13
4.3969824136078755,967,10,10,13
4.447815137704737,966,11,10,13
4.460700276210253,966,10,11,13
4.498669013349288,966,10,10,14
4.6670427641791985,966,9,11,14
4.766889681420855,966,9,10,15
4.817160134631814,965,10,10,15
4.821108121918664,965,10,9,16
4.997648652007751,964,11,9,16
5.062549237083162,964,11,8,17
5.202561331966827,963,12,8,17
5.445165168036611,963,11,9,17
5.449351795069967,963,11,8,18
5.4562805496671904,963,10,9,18
5.486682662438374,962,11,9,18
5.585170075159207,962,10,10,18
5.597717511507808,961,11,10,18
5.609173015425595,960,12,10,18
5.611691121117246,960,12,9,19
5.6329224956968185,959,13,9,19
5.820013478067551,958,14,9,19
5.855206496357839,957,15,9,19
5.856403268161751,956,16,9,19
5.885066576665492,956,15,10,19
5.943949859837843,955,16,10,19
6.07396772040632,955,16,9,20
6.28395444833261,955,16,8,21
6.296176746494774,954,17,8,21
6.297716768074169,953,18,8,21
6.300979668698467,953,17,9,21
6.436035236496364,953,16,10,21
6.467956512476852,952,17,10,21
6.480205446608384,952,16,11,21
6.5961172058908435,952,15,12,21
6.598200241876052,952,14,13,21
6.62462086459529,951,15,13,21
6.71368118451149,950,16,13,21
6.772793750502595,949,17,13,21
6.921825952365952,948,18,13,21
6.924774867865503,948,17,14,21
6.925391644237118,948,17,13,22
6.925594002161285,947,18,13,22
6.967050318309585,947,17,14,22
6.976863715965461,946,18,14,22
7.075685480953701,946,18,13,23
7.228943816811253,946,17,14,23
7.238638127480803,946,16,15,23
7.327523586740652,946,15,16,23
7.4641885023313685,946,15,15,24
7.468246577729448,945,16,15,24
7.515043372437501,945,15,16,24
7.584133078995287,945,15,15,25
7.606888850857694,945,14,16,25
7.626688986929102,945,13,17,25
7.646919566794179,944,14,17,25
7.727409178158662,943,15,17,25
7.758981219358162,942,16,17,25
7.820111875408767,942,15,18,25
7.843184104006422,942,15,17,26
7.869924679744786,942,14,18,26
7.874187090583404,942,13,19,26
7.983889440337112,942,12,20,26
7.995485817270781,942,11,21,26
8.013072335475345,942,10,22,26
8.168995500011775,941,11,22,26
8.26967260731326,940,12,22,26
8.35372479409924,940,11,23,26
8.40255459175183,939,12,23,26
8.600120466899831,938,13,23,26
8.600653916464175,938,13,22,27
8.607176936347331,937,14,22,27
8.609055011593732,936,15,22,27
8.672805757496501,936,14,23,27
8.738974153856287,936,14,22,28
8.759366614671372,936,13,23,28
8.804881494653634,935,14,23,28
8.879685962086421,935,13,24,28
8.923255476654198,935,13,23,29
9.033009781168635,935,13,22,30
9.083041707011652,934,14,22,30
9.11848208858572,933,15,22,30
9.167031561709502,932,16,22,30
9.169627221053135,931,17,22,30
9.18925650329167,930,18,22,30
9.224898282688029,929,19,22,30
9.25637074282935,928,20,22,30
9.264098057954769,927,21,22,30
