t,S,I,R
0.0,990,10,0
0.07390067156153271,989,11,0
0.1663900034730208,988,12,0
0.20959497803099453,987,13,0
0.352596585149426,986,14,0
0.3551337901882604,985,15,0
0.4127854495489115,984,16,0
0.4187381648895242,984,15,1
0.43824774463603755,983,16,1
0.45704075115651627,983,15,2
0.5399594113528993,982,16,2
0.666248972994104,981,17,2
0.7305325922687562,980,18,2
0.7611165648186485,979,19,2
0.7824971369978971,978,20,2
0.8240824618595132,978,19,3
0.8514605694364019,977,20,3
0.8821113436975244,976,21,3
0.905157892696331,975,22,3
0.9136460307932821,975,21,4
0.9292450486209135,975,20,5
0.9646174147593822,974,21,5
0.9674580761221644,973,22,5
0.9698025612017377,972,23,5
0.973358311643983,972,22,6
1.0200637156754144,971,23,6
1.0590622715722613,970,24,6
1.2481374345411418,969,25,6
1.3082779501442605,969,24,7
1.3347854591032697,968,25,7
1.3417261937655889,968,24,8
1.3455253204020599,967,25,8
1.3843191880741506,966,26,8
1.4227993672009713,965,27,8
1.453664793441624,964,28,8
1.5702269339570711,963,29,8
1.5792166201829863,963,28,9
1.6310228429524654,962,29,9
1.644871569102278,961,30,9
1.7162183305560266,961,29,10
1.7489024223221508,960,30,10
1.7697085985619732,959,31,10
1.7992820418846613,958,32,10
1.8435238495398498,958,31,11
1.8738834344257986,957,32,11
1.8956785447764044,956,33,11
1.90061776425207,955,34,11
1.9142791037447666,955,33,12
1.9332368897657235,954,34,12
1.934826786692123,953,35,12
1.9596596636141173,952,36,12
1.971851324006839,951,37,12
2.000260782398162,950,38,12
2.0261210849004296,949,39,12
2.0410731485312796,948,40,12
2.108116345498571,947,41,12
2.111789922587442,946,42,12
2.121769352650568,946,41,13
2.1249258364036705,945,42,13
2.1469129468087016,944,43,13
2.207489084444725,943,44,13
2.243835325602422,942,45,13
2.2858481634220555,941,46,13
2.299155646833672,941,45,14
2.314141553148769,940,46,14
2.328828251958306,939,47,14
2.336372273033595,939,46,15
2.340282704751073,938,47,15
2.363046017100869,937,48,15
2.382416920720228,936,49,15
2.409208963178568,935,50,15
2.4100384601685647,934,51,15
2.414145197700729,933,52,15
2.4277313903411013,933,51,16
2.434174505854664,932,52,16
2.500387521285024,931,53,16
2.5127141944848415,930,54,16
2.5171935443434004,930,53,17
2.5313598110255837,929,54,17
2.5665500293605206,929,53,18
2.615809137264056,929,52,19
2.624240962512163,928,53,19
2.6433616393846417,927,54,19
2.6616429392119203,926,55,19
2.6750474647508695,925,56,19
2.677627976834442,924,57,19
2.686160289236048,924,56,20
2.7184201752996913,923,57,20
2.723795391819858,922,58,20
2.7509173806303915,921,59,20
2.767550834256372,921,58,21
2.804205447634246,920,59,21
2.8290705950276727,919,60,21
2.8366968049715373,919,59,22
2.8547355989481953,918,60,22
2.855327056113763,917,61,22
2.8579995805312057,916,62,22
2.875096439966633,915,63,22
2.8847925664815843,914,64,22
2.90179340344219,913,65,22
2.9323767560538934,912,66,22
2.953883605367604,911,67,22
2.9763781351613283,910,68,22
2.9842036048825156,909,69,22
3.011971557308329,908,70,22
3.0170298912149036,907,71,22
3.076983434688252,907,70,23
3.0929664989225616,907,69,24
3.1103188644754063,906,70,24
3.1174721389774787,905,71,24
3.1179572795172956,904,72,24
3.13419284837585,904,71,25
3.1546272158163013,904,70,26
3.1721214003042464,903,71,26
3.185372244993028,902,72,26
3.2234014572374265,901,73,26
3.247104673744898,901,72,27
3.259239571741394,901,71,28
3.2705790483177317,900,72,28
3.287183176904016,899,73,28
3.288234632320779,898,74,28
3.29385035165755,897,75,28
3.346525644498928,896,76,28
3.3585094932953936,896,75,29
3.371479111947497,895,76,29
3.394091597970894,895,75,30
3.4144912201089324,895,74,31
3.4148323607610997,894,75,31
3.4330883077087293,894,74,32
3.444944797784155,893,75,32
3.4499284830278234,893,74,33
3.453911393863012,892,75,33
3.461758777209253,892,74,34
3.4755489568544697,891,75,34
3.492807750299231,890,76,34
3.498148003400982,890,75,35
3.50960154116208,889,76,35
3.5419404647435693,888,77,35
3.583384596340288,887,78,35
3.585612580989715,887,77,36
3.5985261315693937,886,78,36
3.5987208592670124,886,77,37
