t,S,I,R
0.0,990,10,0
0.1,989,10,0
0.2,989,11,0
0.30000000000000004,989,11,0
0.4,989,10,1
0.5,990,10,1
0.6000000000000001,989,10,1
0.7000000000000001,989,10,1
0.8,988,10,1
0.9,985,10,1
1.0,985,11,1
1.1,984,11,1
1.2000000000000002,984,11,1
1.3,985,11,1
1.4000000000000001,984,12,1
1.5,981,14,1
1.6,980,14,1
1.7000000000000002,980,13,2
1.8,979,15,2
1.9000000000000001,975,16,3
2.0,975,15,4
2.1,973,14,5
2.2,970,14,5
2.3000000000000003,969,13,6
2.4000000000000004,970,13,6
2.5,969,13,6
2.6,968,13,6
2.7,967,12,7
2.8000000000000003,965,12,7
2.9000000000000004,964,12,7
3.0,962,13,7
3.1,962,13,7
3.2,961,13,7
3.3000000000000003,958,13,7
3.4000000000000004,955,15,7
3.5,953,16,7
3.6,950,19,7
3.7,951,16,10
3.8000000000000003,950,17,10
3.9000000000000004,947,15,12
4.0,945,14,14
4.1000000000000005,943,15,15
4.2,944,15,15
4.3,944,15,15
4.4,940,17,16
4.5,939,16,17
4.6000000000000005,938,17,17
4.7,939,16,19
4.800000000000001,940,16,19
4.9,939,16,19
5.0,937,17,19
5.1000000000000005,935,16,20
5.2,936,15,21
5.300000000000001,937,15,21
5.4,935,17,21
5.5,932,18,21
5.6000000000000005,931,18,21
5.7,926,18,22
5.800000000000001,925,18,23
5.9,924,19,23
6.0,918,23,23
6.1000000000000005,917,23,24
6.2,912,25,25
6.300000000000001,911,26,25
6.4,910,26,25
6.5,908,27,26
6.6000000000000005,908,28,26
6.7,908,28,27
6.800000000000001,908,27,28
6.9,903,32,28
7.0,903,32,28
7.1000000000000005,901,35,28
7.2,897,36,28
7.300000000000001,894,37,29
7.4,891,37,29
7.5,894,36,30
7.6000000000000005,891,36,31
7.7,889,34,34
7.800000000000001,889,34,34
7.9,888,36,34
8.0,885,36,35
8.1,883,37,36
8.200000000000001,884,35,38
8.3,883,34,39
8.4,881,33,42
8.5,879,31,44
8.6,877,32,45
8.700000000000001,878,31,47
8.8,877,31,47
8.9,874,33,48
9.0,872,35,49
9.1,869,38,49
9.200000000000001,867,40,49
9.3,865,42,49
9.4,861,46,50
9.5,859,47,50
9.600000000000001,855,49,52
9.700000000000001,849,52,52
9.8,846,53,54
9.9,843,54,54
10.0,836,57,56
10.100000000000001,833,59,57
10.200000000000001,828,59,61
10.3,826,60,62
10.4,821,60,65
10.5,815,63,66
10.600000000000001,810,64,67
10.700000000000001,807,64,68
10.8,802,65,71
10.9,795,67,73
11.0,795,66,75
11.100000000000001,790,68,77
11.200000000000001,789,67,80
11.3,787,68,80
11.4,786,67,82
11.5,780,69,84
11.600000000000001,778,67,87
11.700000000000001,772,69,89
11.8,768,70,92
11.9,762,73,95
12.0,758,75,97
12.100000000000001,750,81,98
12.200000000000001,744,82,103
12.3,740,83,105
12.4,734,85,106
