t,S,I,R
0.0,990,10,0
0.11085100734229908,989,11,0
0.24958500520953122,988,12,0
0.3143924670464918,987,13,0
0.528894877724139,986,14,0
0.5327006852823907,985,15,0
0.6191781743233674,984,16,0
0.6573716169540564,983,17,0
0.6978969414825403,983,16,1
0.7617345852608605,983,15,2
0.9990852555029843,982,16,2
1.174736289592025,981,17,2
1.277284801494847,980,18,2
1.355907993577435,979,19,2
1.3741795858833443,978,20,2
1.3871472702730128,977,21,2
1.429790151713878,976,22,2
1.440975850511829,975,23,2
1.4454862570052156,974,24,2
1.4757004569288497,974,23,3
1.5227433846554703,974,22,4
1.5873313564014726,974,21,5
1.5965313454781511,973,22,5
1.6074849904724433,972,23,5
1.6426362070495584,971,24,5
1.6966089756349414,970,25,5
1.7734174197639558,969,26,5
1.862148084105,968,27,5
2.0550967384471877,967,28,5
2.0627515910878995,966,29,5
2.0685126489547128,965,30,5
2.1330179145391908,964,31,5
2.1730955577481255,963,32,5
2.177444225417744,963,31,6
2.180463250240434,963,30,7
2.2111175146044038,962,31,7
2.2780443608436323,961,32,7
2.4076295224723085,961,31,8
2.4451470190994513,960,32,8
2.50602509817453,959,33,8
2.5464693598121206,958,34,8
2.5530659422795634,957,35,8
2.569474609535702,956,36,8
2.5850399188879245,955,37,8
2.681311714963224,954,38,8
2.7061772820038272,953,39,8
2.7124282878994115,952,40,8
2.7514367226631444,951,41,8
2.808452440536289,950,42,8
2.8603638842600443,950,41,9
2.894291725556608,949,42,9
3.0037421743082646,949,41,10
3.061039567503474,949,40,11
3.0984855113308796,948,41,11
3.1350621936773586,947,42,11
3.2717037265059714,946,43,11
3.29363336864534,946,42,12
3.35917468861401,945,43,12
3.3602666715051948,944,44,12
3.371647176853801,943,45,12
3.381637124915557,942,46,12
3.3858672069335616,942,45,13
3.388799119272917,941,46,13
3.3996891491494985,940,47,13
3.4089939919731,940,46,14
3.417723408439554,939,47,14
3.4716145120533533,939,46,15
3.4787642023351495,939,45,16
3.4856109754195774,938,46,16
3.5708170566686235,938,45,17
3.6523348995486073,937,46,17
3.6779044857918324,937,45,18
3.702820424503977,936,46,18
3.704956635871124,935,47,18
3.734184884440624,934,48,18
3.752137640823503,934,47,19
3.834312968492066,933,48,19
3.859347373257846,932,49,19
3.8779699848313385,931,50,19
3.90900949576878,930,51,19
3.920623257710517,929,52,19
3.9351249899347387,928,53,19
3.937036027337288,927,54,19
3.9619363188236583,926,55,19
3.977495183895061,925,56,19
3.9853725932005295,925,55,20
4.002300401989705,924,56,20
4.006549919691784,924,55,21
4.017984026082017,923,56,21
4.102191816337352,922,57,21
4.12093613680486,921,58,21
4.134186066408003,921,57,22
4.143274841568839,920,58,22
4.159993767271037,919,59,22
4.232107917249579,918,60,22
4.234183429848851,918,59,23
4.248352195952904,918,58,24
4.25140993000701,917,59,24
4.277583382267535,917,58,25
4.278356757335164,916,59,25
4.279676024327533,915,60,25
4.3352945971774295,915,59,26
4.362608759839095,914,60,26
4.38182398708822,913,61,26
4.385561934374267,912,62,26
4.394284948775097,911,63,26
4.394649607252043,910,64,26
4.413220855835613,909,65,26
4.472113978555293,908,66,26
4.476933815393414,908,65,27
4.498280831552346,907,66,27
4.505053204492914,906,67,27
4.5128151058512715,905,68,27
4.538211292048288,904,69,27
4.542195496401289,903,70,27
4.554857706465773,903,69,28
4.620188645122144,903,68,29
4.6452353509666,902,69,29
4.654446103425788,901,70,29
4.681877678260784,900,71,29
4.731718897754265,899,72,29
4.7342195788040335,898,73,29
4.744746355122714,897,74,29
4.757194765531632,896,75,29
4.771453954827043,895,76,29
4.774673466193258,895,75,30
4.777372981495667,894,76,30
4.7953294659301875,893,77,30
4.796018827259392,892,78,30
4.81092089623985,892,77,31
4.824524579274007,892,76,32
4.856950271191649,891,77,32
4.931207364824993,890,78,32
4.973066290349441,889,79,32
5.003155639491575,888,80,32
5.004560464192438,887,81,32
5.008112332038072,886,82,32
5.0669104091337465,885,83,32
5.070834667605366,884,84,32
5.085477976218359,884,83,33
5.0872579153919135,883,84,33
5.087673908939621,882,85,33
5.099257582086816,881,86,33
5.12830572448042,881,85,34
5.142207821510589,880,86,34
5.1859502120993755,879,87,34
5.1872285276688626,878,88,34
5.232647747369124,877,89,34
5.263436283110847,876,90,34
5.279515092798539,875,91,34
5.281847107782873,875,90,35
5.282007261121812,874,91,35
5.283678609013679,873,92,35
5.314030288737499,872,93,35
5.315248079534829,871,94,35
5.325916918708507,870,95,35
5.33494390222827,869,96,35
5.342104049999492,868,97,35
5.3542132606676525,867,98,35
5.367533026827861,866,99,35
5.379101794472007,865,100,35
5.382650196886545,864,101,35
5.398692821863229,863,102,35
5.424628264846686,862,103,35
5.432065952902323,862,102,36
5.4490921334290565,861,103,36
5.449136988056793,860,104,36
5.452344643579249,859,105,36
5.468602913930072,859,104,37
5.480289086452459,858,105,37
5.499480921868864,857,106,37
5.509157436031002,856,107,37
5.510332686514999,855,108,37
5.511194807210835,855,107,38
5.522222869392682,854,108,38
5.526052204913781,853,109,38
5.528066161226638,852,110,38
5.561908461869909,851,111,38
5.567842350482967,850,112,38
5.57967085861463,849,113,38
5.6150589568796665,849,112,39
5.669800643321092,848,113,39
5.6784168189090485,847,114,39
5.69020167312044,846,115,39
5.693908343693977,845,116,39
5.697468269558259,844,117,39
5.719592129462047,843,118,39
5.721179355694571,842,119,39
5.730849196178511,841,120,39
5.7576490946816685,840,121,39
5.778429068019756,839,122,39
5.815643572115166,838,123,39
5.819445415783006,837,124,39
5.8577267175249705,837,123,40
5.862407427816912,836,124,40
5.862456151049136,835,125,40
5.866288469784513,834,126,40
5.896955479546323,833,127,40
5.908780177413009,833,126,41
5.9261711107311115,833,125,42
5.975631258236664,833,124,43
5.989332144680514,833,123,44
6.005373341534415,833,122,45
6.012572387401559,832,123,45
6.019423310508392,831,124,45
6.032667288481347,831,123,46
6.0348737400198385,830,124,46
6.0416798849084845,829,125,46
6.06111329636299,828,126,46
6.070204670729796,828,125,47
6.072040134600997,828,124,48
6.095632886704755,827,125,48
6.099165169230739,826,126,48
6.10030567776842,825,127,48
6.124933480119228,824,128,48
6.173174716713492,824,127,49
6.179560400879621,823,128,49
6.202421558488309,823,127,50
6.208287391845662,823,126,51
6.230176772373644,822,127,51
6.2369635392795475,821,128,51
6.245272799460834,821,127,52
6.260143612619996,821,126,53
6.27717602414059,820,127,53
6.294436478283365,819,128,53
6.333999114409685,818,129,53
6.3395799598747855,818,128,54
6.346657733668102,817,129,54
6.351312291049464,816,130,54
6.368361220967077,815,131,54
6.371472969517484,814,132,54
6.3845994649861515,813,133,54
6.387627080800026,813,132,55
6.414666347962682,813,131,56
6.420693288212864,813,130,57
6.426160551620511,812,131,57
6.4427062867641425,811,132,57
6.446140272508299,810,133,57
6.450742571018701,809,134,57
6.463403106156397,808,135,57
6.491780909732421,807,136,57
6.52958230316038,807,135,58
6.534560280563406,806,136,58
6.5697425737700845,805,137,58
6.572266384140115,804,138,58
6.5798016983976995,803,139,58
6.589143658411473,803,138,59
6.598948768728062,802,139,59
6.61421805659855,802,138,60
6.630787315463204,802,137,61
6.6322602234205075,802,136,62
6.636465003808224,802,135,63
6.638704173801567,802,134,64
6.669273567124055,801,135,64
6.679930885402892,801,134,65
6.716771015738555,800,135,65
6.7197005482342975,799,136,65
6.749858845301161,798,137,65
6.750360449285909,797,138,65
6.751735277600563,797,137,66
6.7736923695546345,796,138,66
6.785093869698496,795,139,66
6.79989278053047,794,140,66
6.80166104468274,793,141,66
6.813106705506438,792,142,66
6.84184337366761,791,143,66
6.855311112057063,790,144,66
6.8661260934245165,789,145,66
6.8779003247866255,789,144,67
6.884119100353054,788,145,67
6.904213245522939,788,144,68
6.906972050069432,788,143,69
6.912106496882499,787,144,69
6.915459236725011,786,145,69
6.937134616489227,785,146,69
6.952458458962843,785,145,70
